Year,Zone,Sex,Age Group,Population,Prevalence,Crude Prevalence Rate
01/01/2000 12:00:00 AM,Central,F,0 to 9,20520,2229,10.86
01/01/2000 12:00:00 AM,Central,F,10 to 19,23171,2883,12.44
01/01/2000 12:00:00 AM,Central,F,20 to 29,23475,2103,8.96
01/01/2000 12:00:00 AM,Central,F,30 to 39,29410,1995,6.78
01/01/2000 12:00:00 AM,Central,F,40 to 49,29328,2151,7.33
01/01/2000 12:00:00 AM,Central,F,50 to 59,21582,1722,7.98
01/01/2000 12:00:00 AM,Central,F,60 to 69,13577,966,7.11
01/01/2000 12:00:00 AM,Central,F,70 to 79,11175,764,6.84
01/01/2000 12:00:00 AM,Central,F,80 +,7973,434,5.44
01/01/2000 12:00:00 AM,Central,M,0 to 9,21025,3130,14.89
01/01/2000 12:00:00 AM,Central,M,10 to 19,24205,3563,14.72
01/01/2000 12:00:00 AM,Central,M,20 to 29,22118,1177,5.32
01/01/2000 12:00:00 AM,Central,M,30 to 39,26849,996,3.71
01/01/2000 12:00:00 AM,Central,M,40 to 49,27221,970,3.56
01/01/2000 12:00:00 AM,Central,M,50 to 59,20608,760,3.69
01/01/2000 12:00:00 AM,Central,M,60 to 69,12718,550,4.32
01/01/2000 12:00:00 AM,Central,M,70 to 79,8289,374,4.51
01/01/2000 12:00:00 AM,Central,M,80 +,3798,183,4.82
01/01/2000 12:00:00 AM,Eastern,F,0 to 9,7937,828,10.43
01/01/2000 12:00:00 AM,Eastern,F,10 to 19,8077,772,9.56
01/01/2000 12:00:00 AM,Eastern,F,20 to 29,8569,531,6.2
01/01/2000 12:00:00 AM,Eastern,F,30 to 39,11131,502,4.51
01/01/2000 12:00:00 AM,Eastern,F,40 to 49,13870,672,4.84
01/01/2000 12:00:00 AM,Eastern,F,50 to 59,11414,631,5.53
01/01/2000 12:00:00 AM,Eastern,F,60 to 69,7950,428,5.38
01/01/2000 12:00:00 AM,Eastern,F,70 to 79,6336,319,5.03
01/01/2000 12:00:00 AM,Eastern,F,80 +,5273,235,4.46
01/01/2000 12:00:00 AM,Eastern,M,0 to 9,8385,1203,14.35
01/01/2000 12:00:00 AM,Eastern,M,10 to 19,8791,1047,11.91
01/01/2000 12:00:00 AM,Eastern,M,20 to 29,8517,344,4.04
01/01/2000 12:00:00 AM,Eastern,M,30 to 39,10854,272,2.51
01/01/2000 12:00:00 AM,Eastern,M,40 to 49,13629,350,2.57
01/01/2000 12:00:00 AM,Eastern,M,50 to 59,11828,317,2.68
01/01/2000 12:00:00 AM,Eastern,M,60 to 69,7718,252,3.27
01/01/2000 12:00:00 AM,Eastern,M,70 to 79,5072,197,3.88
01/01/2000 12:00:00 AM,Eastern,M,80 +,2706,101,3.73
01/01/2000 12:00:00 AM,Northern,F,0 to 9,7445,700,9.4
01/01/2000 12:00:00 AM,Northern,F,10 to 19,7639,811,10.62
01/01/2000 12:00:00 AM,Northern,F,20 to 29,8460,636,7.52
01/01/2000 12:00:00 AM,Northern,F,30 to 39,10816,598,5.53
01/01/2000 12:00:00 AM,Northern,F,40 to 49,12084,701,5.8
01/01/2000 12:00:00 AM,Northern,F,50 to 59,9758,610,6.25
01/01/2000 12:00:00 AM,Northern,F,60 to 69,6507,388,5.96
01/01/2000 12:00:00 AM,Northern,F,70 to 79,5545,285,5.14
01/01/2000 12:00:00 AM,Northern,F,80 +,4436,212,4.78
01/01/2000 12:00:00 AM,Northern,M,0 to 9,8156,1118,13.71
01/01/2000 12:00:00 AM,Northern,M,10 to 19,8081,932,11.53
01/01/2000 12:00:00 AM,Northern,M,20 to 29,8313,367,4.41
01/01/2000 12:00:00 AM,Northern,M,30 to 39,10497,319,3.04
01/01/2000 12:00:00 AM,Northern,M,40 to 49,11934,349,2.92
01/01/2000 12:00:00 AM,Northern,M,50 to 59,10018,284,2.83
01/01/2000 12:00:00 AM,Northern,M,60 to 69,6371,217,3.41
01/01/2000 12:00:00 AM,Northern,M,70 to 79,4332,185,4.27
01/01/2000 12:00:00 AM,Northern,M,80 +,2220,100,4.5
01/01/2000 12:00:00 AM,Unknown,F,0 to 9,8833,801,9.07
01/01/2000 12:00:00 AM,Unknown,F,10 to 19,14243,1472,10.33
01/01/2000 12:00:00 AM,Unknown,F,20 to 29,12660,828,6.54
01/01/2000 12:00:00 AM,Unknown,F,30 to 39,10151,530,5.22
01/01/2000 12:00:00 AM,Unknown,F,40 to 49,7285,409,5.61
01/01/2000 12:00:00 AM,Unknown,F,50 to 59,4797,274,5.71
01/01/2000 12:00:00 AM,Unknown,F,60 to 69,2886,161,5.58
01/01/2000 12:00:00 AM,Unknown,F,70 to 79,2244,122,5.44
01/01/2000 12:00:00 AM,Unknown,F,80 +,1639,67,4.09
01/01/2000 12:00:00 AM,Unknown,M,0 to 9,8586,1144,13.32
01/01/2000 12:00:00 AM,Unknown,M,10 to 19,14489,1684,11.62
01/01/2000 12:00:00 AM,Unknown,M,20 to 29,12458,545,4.37
01/01/2000 12:00:00 AM,Unknown,M,30 to 39,9211,239,2.59
01/01/2000 12:00:00 AM,Unknown,M,40 to 49,6814,176,2.58
01/01/2000 12:00:00 AM,Unknown,M,50 to 59,4584,131,2.86
01/01/2000 12:00:00 AM,Unknown,M,60 to 69,2738,111,4.05
01/01/2000 12:00:00 AM,Unknown,M,70 to 79,1606,57,3.55
01/01/2000 12:00:00 AM,Unknown,M,80 +,805,36,4.47
01/01/2000 12:00:00 AM,Western,F,0 to 9,9158,836,9.13
01/01/2000 12:00:00 AM,Western,F,10 to 19,9597,997,10.39
01/01/2000 12:00:00 AM,Western,F,20 to 29,10324,768,7.44
01/01/2000 12:00:00 AM,Western,F,30 to 39,14307,859,6
01/01/2000 12:00:00 AM,Western,F,40 to 49,16498,938,5.69
01/01/2000 12:00:00 AM,Western,F,50 to 59,13854,847,6.11
01/01/2000 12:00:00 AM,Western,F,60 to 69,9392,556,5.92
01/01/2000 12:00:00 AM,Western,F,70 to 79,7542,438,5.81
01/01/2000 12:00:00 AM,Western,F,80 +,6034,258,4.28
01/01/2000 12:00:00 AM,Western,M,0 to 9,9998,1296,12.96
01/01/2000 12:00:00 AM,Western,M,10 to 19,10073,1170,11.62
01/01/2000 12:00:00 AM,Western,M,20 to 29,10216,409,4
01/01/2000 12:00:00 AM,Western,M,30 to 39,13831,457,3.3
01/01/2000 12:00:00 AM,Western,M,40 to 49,15993,482,3.01
01/01/2000 12:00:00 AM,Western,M,50 to 59,13771,446,3.24
01/01/2000 12:00:00 AM,Western,M,60 to 69,9321,340,3.65
01/01/2000 12:00:00 AM,Western,M,70 to 79,6367,286,4.49
01/01/2000 12:00:00 AM,Western,M,80 +,3440,153,4.45
01/01/2001 12:00:00 AM,Central,F,0 to 9,20080,2173,10.82
01/01/2001 12:00:00 AM,Central,F,10 to 19,23519,3225,13.71
01/01/2001 12:00:00 AM,Central,F,20 to 29,23533,2304,9.79
01/01/2001 12:00:00 AM,Central,F,30 to 39,29177,2191,7.51
01/01/2001 12:00:00 AM,Central,F,40 to 49,30288,2453,8.1
01/01/2001 12:00:00 AM,Central,F,50 to 59,22571,1964,8.7
01/01/2001 12:00:00 AM,Central,F,60 to 69,13941,1109,7.95
01/01/2001 12:00:00 AM,Central,F,70 to 79,11226,841,7.49
01/01/2001 12:00:00 AM,Central,F,80 +,8302,488,5.88
01/01/2001 12:00:00 AM,Central,M,0 to 9,20697,3156,15.25
01/01/2001 12:00:00 AM,Central,M,10 to 19,24567,4044,16.46
01/01/2001 12:00:00 AM,Central,M,20 to 29,22276,1395,6.26
01/01/2001 12:00:00 AM,Central,M,30 to 39,26681,1099,4.12
01/01/2001 12:00:00 AM,Central,M,40 to 49,28299,1132,4
01/01/2001 12:00:00 AM,Central,M,50 to 59,21391,882,4.12
01/01/2001 12:00:00 AM,Central,M,60 to 69,13065,600,4.59
01/01/2001 12:00:00 AM,Central,M,70 to 79,8454,424,5.02
01/01/2001 12:00:00 AM,Central,M,80 +,4085,201,4.92
01/01/2001 12:00:00 AM,Eastern,F,0 to 9,7900,815,10.32
01/01/2001 12:00:00 AM,Eastern,F,10 to 19,8044,901,11.2
01/01/2001 12:00:00 AM,Eastern,F,20 to 29,8406,581,6.91
